,Datetime,Location,Direction,Bicycles,Cars,Total
0,2022-10-12 00:00:00,BondSt_GardenSt,WB,0,7.0,7.0
1,2022-10-12 01:00:00,BondSt_GardenSt,WB,0,6.0,7.0
2,2022-10-12 02:00:00,BondSt_GardenSt,WB,0,0.0,0.0
3,2022-10-12 03:00:00,BondSt_GardenSt,WB,0,0.0,0.0
4,2022-10-12 04:00:00,BondSt_GardenSt,WB,0,2.0,2.0
5,2022-10-12 05:00:00,BondSt_GardenSt,WB,0,7.0,8.0
6,2022-10-12 06:00:00,BondSt_GardenSt,WB,0,23.0,26.0
7,2022-10-12 07:00:00,BondSt_GardenSt,WB,0,78.0,91.0
8,2022-10-12 08:00:00,BondSt_GardenSt,WB,0,78.0,92.0
9,2022-10-12 09:00:00,BondSt_GardenSt,WB,1,60.0,86.0
10,2022-10-12 10:00:00,BondSt_GardenSt,WB,0,54.0,69.0
11,2022-10-12 11:00:00,BondSt_GardenSt,WB,0,45.0,58.0
12,2022-10-12 12:00:00,BondSt_GardenSt,WB,0,57.0,79.0
13,2022-10-12 13:00:00,BondSt_GardenSt,WB,0,55.0,69.0
14,2022-10-12 14:00:00,BondSt_GardenSt,WB,1,61.0,74.0
15,2022-10-12 15:00:00,BondSt_GardenSt,WB,0,69.0,86.0
16,2022-10-12 16:00:00,BondSt_GardenSt,WB,0,88.0,94.0
17,2022-10-12 17:00:00,BondSt_GardenSt,WB,2,104.0,114.0
18,2022-10-12 18:00:00,BondSt_GardenSt,WB,2,79.0,87.0
19,2022-10-12 19:00:00,BondSt_GardenSt,WB,0,73.0,80.0
20,2022-10-12 20:00:00,BondSt_GardenSt,WB,0,61.0,64.0
21,2022-10-12 21:00:00,BondSt_GardenSt,WB,1,43.0,44.0
22,2022-10-12 22:00:00,BondSt_GardenSt,WB,0,27.0,33.0
23,2022-10-12 23:00:00,BondSt_GardenSt,WB,0,7.0,7.0
0,2022-10-12 00:00:00,BondSt_GardenSt,EB,0,5.0,5.0
1,2022-10-12 01:00:00,BondSt_GardenSt,EB,0,4.0,4.0
2,2022-10-12 02:00:00,BondSt_GardenSt,EB,0,1.0,1.0
3,2022-10-12 03:00:00,BondSt_GardenSt,EB,0,1.0,1.0
4,2022-10-12 04:00:00,BondSt_GardenSt,EB,0,4.0,5.0
5,2022-10-12 05:00:00,BondSt_GardenSt,EB,0,10.0,16.0
6,2022-10-12 06:00:00,BondSt_GardenSt,EB,0,12.0,22.0
7,2022-10-12 07:00:00,BondSt_GardenSt,EB,0,55.0,69.0
8,2022-10-12 08:00:00,BondSt_GardenSt,EB,2,139.0,164.0
9,2022-10-12 09:00:00,BondSt_GardenSt,EB,0,98.0,112.0
10,2022-10-12 10:00:00,BondSt_GardenSt,EB,0,70.0,84.0
11,2022-10-12 11:00:00,BondSt_GardenSt,EB,2,63.0,88.0
12,2022-10-12 12:00:00,BondSt_GardenSt,EB,1,64.0,83.0
13,2022-10-12 13:00:00,BondSt_GardenSt,EB,6,56.0,73.0
14,2022-10-12 14:00:00,BondSt_GardenSt,EB,2,84.0,102.0
15,2022-10-12 15:00:00,BondSt_GardenSt,EB,2,89.0,107.0
16,2022-10-12 16:00:00,BondSt_GardenSt,EB,2,136.0,151.0
17,2022-10-12 17:00:00,BondSt_GardenSt,EB,8,145.0,167.0
18,2022-10-12 18:00:00,BondSt_GardenSt,EB,2,139.0,150.0
19,2022-10-12 19:00:00,BondSt_GardenSt,EB,1,82.0,89.0
20,2022-10-12 20:00:00,BondSt_GardenSt,EB,1,55.0,59.0
21,2022-10-12 21:00:00,BondSt_GardenSt,EB,1,37.0,43.0
22,2022-10-12 22:00:00,BondSt_GardenSt,EB,2,14.0,17.0
23,2022-10-12 23:00:00,BondSt_GardenSt,EB,1,2.0,3.0
0,2022-12-07 00:00:00,BondSt_GardenSt,EB,0,10.0,10.0
1,2022-12-07 01:00:00,BondSt_GardenSt,EB,0,2.0,2.0
2,2022-12-07 02:00:00,BondSt_GardenSt,EB,0,0.0,1.0
3,2022-12-07 03:00:00,BondSt_GardenSt,EB,0,1.0,1.0
4,2022-12-07 04:00:00,BondSt_GardenSt,EB,0,2.0,2.0
5,2022-12-07 05:00:00,BondSt_GardenSt,EB,0,5.0,6.0
6,2022-12-07 06:00:00,BondSt_GardenSt,EB,0,14.0,15.0
7,2022-12-07 07:00:00,BondSt_GardenSt,EB,0,73.0,82.0
8,2022-12-07 08:00:00,BondSt_GardenSt,EB,0,84.0,95.0
9,2022-12-07 09:00:00,BondSt_GardenSt,EB,0,45.0,54.0
10,2022-12-07 10:00:00,BondSt_GardenSt,EB,0,28.0,33.0
11,2022-12-07 11:00:00,BondSt_GardenSt,EB,0,39.0,47.0
12,2022-12-07 12:00:00,BondSt_GardenSt,EB,0,39.0,50.0
13,2022-12-07 13:00:00,BondSt_GardenSt,EB,0,43.0,61.0
14,2022-12-07 14:00:00,BondSt_GardenSt,EB,0,57.0,66.0
15,2022-12-07 15:00:00,BondSt_GardenSt,EB,0,47.0,61.0
16,2022-12-07 16:00:00,BondSt_GardenSt,EB,0,39.0,44.0
17,2022-12-07 17:00:00,BondSt_GardenSt,EB,0,53.0,58.0
18,2022-12-07 18:00:00,BondSt_GardenSt,EB,0,43.0,48.0
19,2022-12-07 19:00:00,BondSt_GardenSt,EB,0,28.0,30.0
20,2022-12-07 20:00:00,BondSt_GardenSt,EB,0,24.0,26.0
21,2022-12-07 21:00:00,BondSt_GardenSt,EB,0,21.0,22.0
22,2022-12-07 22:00:00,BondSt_GardenSt,EB,0,16.0,16.0
23,2022-12-07 23:00:00,BondSt_GardenSt,EB,0,13.0,14.0
0,2022-12-08 00:00:00,BondSt_GardenSt,EB,0,1.0,1.0
1,2022-12-08 01:00:00,BondSt_GardenSt,EB,0,0.0,1.0
2,2022-12-08 02:00:00,BondSt_GardenSt,EB,0,0.0,1.0
3,2022-12-08 03:00:00,BondSt_GardenSt,EB,0,0.0,0.0
4,2022-12-08 04:00:00,BondSt_GardenSt,EB,0,2.0,2.0
5,2022-12-08 05:00:00,BondSt_GardenSt,EB,0,6.0,7.0
6,2022-12-08 06:00:00,BondSt_GardenSt,EB,0,6.0,8.0
7,2022-12-08 07:00:00,BondSt_GardenSt,EB,0,64.0,76.0
8,2022-12-08 08:00:00,BondSt_GardenSt,EB,0,72.0,88.0
9,2022-12-08 09:00:00,BondSt_GardenSt,EB,0,54.0,63.0
10,2022-12-08 10:00:00,BondSt_GardenSt,EB,1,37.0,47.0
11,2022-12-08 11:00:00,BondSt_GardenSt,EB,0,45.0,49.0
12,2022-12-08 12:00:00,BondSt_GardenSt,EB,0,38.0,46.0
13,2022-12-08 13:00:00,BondSt_GardenSt,EB,0,38.0,42.0
14,2022-12-08 14:00:00,BondSt_GardenSt,EB,0,53.0,66.0
15,2022-12-08 15:00:00,BondSt_GardenSt,EB,0,53.0,66.0
16,2022-12-08 16:00:00,BondSt_GardenSt,EB,0,53.0,60.0
17,2022-12-08 17:00:00,BondSt_GardenSt,EB,0,55.0,61.0
18,2022-12-08 18:00:00,BondSt_GardenSt,EB,0,40.0,46.0
19,2022-12-08 19:00:00,BondSt_GardenSt,EB,0,17.0,18.0
20,2022-12-08 20:00:00,BondSt_GardenSt,EB,0,20.0,20.0
21,2022-12-08 21:00:00,BondSt_GardenSt,EB,0,19.0,20.0
22,2022-12-08 22:00:00,BondSt_GardenSt,EB,0,14.0,17.0
23,2022-12-08 23:00:00,BondSt_GardenSt,EB,0,6.0,7.0
0,2022-12-07 00:00:00,BondSt_GardenSt,WB,0,1.0,2.0
1,2022-12-07 01:00:00,BondSt_GardenSt,WB,0,1.0,2.0
2,2022-12-07 02:00:00,BondSt_GardenSt,WB,0,0.0,0.0
3,2022-12-07 03:00:00,BondSt_GardenSt,WB,0,2.0,2.0
4,2022-12-07 04:00:00,BondSt_GardenSt,WB,0,1.0,1.0
5,2022-12-07 05:00:00,BondSt_GardenSt,WB,0,11.0,17.0
6,2022-12-07 06:00:00,BondSt_GardenSt,WB,0,9.0,18.0
7,2022-12-07 07:00:00,BondSt_GardenSt,WB,0,42.0,51.0
8,2022-12-07 08:00:00,BondSt_GardenSt,WB,0,66.0,78.0
9,2022-12-07 09:00:00,BondSt_GardenSt,WB,0,57.0,67.0
10,2022-12-07 10:00:00,BondSt_GardenSt,WB,0,59.0,71.0
11,2022-12-07 11:00:00,BondSt_GardenSt,WB,0,43.0,56.0
12,2022-12-07 12:00:00,BondSt_GardenSt,WB,0,59.0,66.0
13,2022-12-07 13:00:00,BondSt_GardenSt,WB,0,42.0,51.0
14,2022-12-07 14:00:00,BondSt_GardenSt,WB,0,46.0,60.0
15,2022-12-07 15:00:00,BondSt_GardenSt,WB,0,59.0,68.0
