Date,Rides
2022-5-10,4978
2022-5-11,5267
2022-5-12,5222
2022-5-13,5635
2022-5-14,6013
2022-5-15,5357
2022-5-16,4939
2022-5-17,5156
2022-5-18,5609
2022-5-19,4416
2022-5-20,5187
2022-5-21,5476
2022-5-22,5332
2022-5-23,5364
2022-5-24,5609
2022-5-25,5834
2022-5-26,6027
2022-5-27,6221
2022-5-28,5105
2022-5-29,6472
2022-5-30,5182
2022-5-31,5249
2022-6-1,4265
2022-6-2,4779
2022-6-3,4716
2022-6-4,5315
2022-6-5,5546
2022-6-6,5066
2022-6-7,5635
2022-6-8,5454
2022-6-9,4824
2022-6-10,5969
2022-6-11,6334
2022-6-12,5973
2022-6-13,5340
2022-6-14,6363
2022-6-15,6278
2022-6-16,6326
2022-6-17,6103
2022-6-18,5829
2022-6-19,4114
2022-6-20,5456
2022-6-21,6079
2022-6-22,6179
2022-6-23,6264
2022-6-24,6167
2022-6-25,6098
2022-6-26,5510
2022-6-27,3479
2022-6-28,5925
2022-6-29,6256
2022-6-30,6396
2022-7-1,5816
2022-7-2,4628
2022-7-3,4865
2022-7-4,5437
2022-7-5,6521
2022-7-6,5932
2022-7-7,6405
2022-7-8,6108
2022-7-9,6928
2022-7-10,6646
2022-7-11,5980
2022-7-12,6369
2022-7-13,6363
2022-7-14,6518
2022-7-15,6630
2022-7-16,6724
2022-7-17,6528
2022-7-18,5094
2022-7-19,6216
2022-7-20,6246
2022-7-21,6098
2022-7-22,5943
2022-7-23,5858
2022-7-24,5422
2022-7-25,5674
2022-7-26,6322
2022-7-27,7044
2022-7-28,6299
2022-7-29,6125
2022-7-30,6475
2022-7-31,6274
2022-8-1,6050
2022-8-2,6299
2022-8-3,6411
2022-8-4,5768
2022-8-5,5385
2022-8-6,5718
2022-8-7,4920
2022-8-8,5125
2022-8-9,5533
2022-8-10,6731
2022-8-11,6578
2022-8-12,6655
2022-8-13,6609
2022-8-14,6093
2022-8-15,6003
2022-8-16,6210
2022-8-17,5852
2022-8-18,6368
2022-8-19,6238
2022-8-20,7131
2022-8-21,7113
2022-8-22,4706
2022-8-23,6394
2022-8-24,7616
2022-8-25,8041
2022-8-26,6419
2022-8-27,8851
2022-8-28,9038
2022-8-29,8677
2022-8-30,8619
2022-8-31,8509
2022-9-1,9493
2022-9-2,9325
2022-9-3,9375
2022-9-4,9591
2022-9-5,4143
2022-9-6,4460
2022-9-7,9252
2022-9-8,9537
2022-9-9,10552
2022-9-10,10770
2022-9-11,7645
2022-9-12,8839
2022-9-13,7387
2022-9-14,9691
2022-9-15,9499
2022-9-16,10350
2022-9-17,10855
2022-9-18,9175
2022-9-19,7140
2022-9-20,8020
2022-9-21,8647
2022-9-22,5472
2022-9-23,7569
2022-9-24,8145
2022-9-25,6823
2022-9-26,7416
2022-9-27,8003
2022-9-28,7925
2022-9-29,8171
2022-9-30,8306
2022-10-1,5919
2022-10-2,5679
2022-10-3,6271
2022-10-4,5221
2022-10-5,4889
2022-10-6,8007
2022-10-7,8383
2022-10-8,6719
2022-10-9,5960
2022-10-10,5108
2022-10-11,7105
2022-10-12,7667
2022-10-13,5606
2022-10-14,5812
2022-10-15,8086
2022-10-16,6739
2022-10-17,5529
